	root	phylum	class	order	family	genus
9680	Root	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
9701	Root	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Capnocytophaga
9720	Root	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
9723	unk	unk	unk	unk	unk	unk
9753	Root	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter
9783	Root	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Capnocytophaga
9820	Root	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
9829	Root	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium
9842	Root	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
9865	Root	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
9976	Root	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Lautropia
9979	Root	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
10014	Root	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Lautropia
10020	Root	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
10030	Root	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus
10040	Root	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Simonsiella
10046	Root	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
