	root	phylum	class	order	family	genus
14090	Root	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
14101	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Tannerella
14123	Root	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
14137	Root	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus
14147	Root	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Capnocytophaga
14155	unk	unk	unk	unk	unk	unk
14160	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
14197	Root	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Capnocytophaga
14199	Root	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
14233	unk	unk	unk	unk	unk	unk
14238	Root	Firmicutes	Clostridia	Clostridiales	Clostridiales	FamilyXI.IncertaeSedis
14260	unk	unk	unk	unk	unk	unk
14269	Root	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus
14272	Root	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
14289	Root	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
14291	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
14298	Root	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus
14327	Root	Fusobacteria	Fusobacteria	Fusobacteriales	Fusobacteriaceae	Leptotrichia
14338	Root	Fusobacteria	Fusobacteria	Fusobacteriales	Fusobacteriaceae	Fusobacterium
14346	Root	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
14348	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
14349	unk	unk	unk	unk	unk	unk
14366	Root	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Rothia
14384	Root	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
14391	Root	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
14393	Root	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Rothia
14403	Root	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus
14414	Root	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
14424	Root	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Lautropia
14425	Root	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unk
14429	Root	Fusobacteria	Fusobacteria	Fusobacteriales	Fusobacteriaceae	Fusobacterium
14454	Root	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus
14466	Root	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella
14479	Root	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus
14486	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas
14494	Root	Fusobacteria	Fusobacteria	Fusobacteriales	Fusobacteriaceae	Leptotrichia
14508	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
14523	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	unk
14539	Root	Actinobacteria	Actinobacteria	Actinomycetales	Propionibacteriaceae	Propionibacterium
14583	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	unk
14602	Root	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
14606	Root	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Capnocytophaga
14621	Root	Fusobacteria	Fusobacteria	Fusobacteriales	Fusobacteriaceae	Leptotrichia
14642	Root	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
14670	Root	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
14686	Root	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unk
14708	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
14713	Root	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus
14716	Root	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
14737	Root	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Capnocytophaga
14747	Root	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unk
14768	Root	Firmicutes	Bacilli	Gemellales	Gemellaceae	Gemella
14769	Root	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella
14795	unk	unk	unk	unk	unk	unk
14815	Root	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Lautropia
14866	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas
14886	Root	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
14900	Root	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
14912	Root	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
14920	unk	unk	unk	unk	unk	unk
14936	Root	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus
14961	Root	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Capnocytophaga
14963	Root	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
14969	unk	unk	unk	unk	unk	unk
14975	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
14996	Root	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
15009	Root	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unk
15013	Root	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Selenomonas
15016	Root	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
15045	Root	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Simonsiella
15046	Root	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
15053	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
15075	Root	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
15080	Root	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella
15081	Root	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Rothia
15114	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas
15154	Root	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
15155	Root	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
15157	Root	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
15183	Root	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella
15190	Root	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Peptococcus
15211	Root	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Capnocytophaga
15215	Root	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Catonella
15234	Root	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unk
15244	Root	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
15252	unk	unk	unk	unk	unk	unk
15255	Root	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
15268	Root	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Kingella
15272	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
15317	Root	Fusobacteria	Fusobacteria	Fusobacteriales	Fusobacteriaceae	Fusobacterium
15344	unk	unk	unk	unk	unk	unk
15346	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas
15361	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
15367	Root	Cyanobacteria	Chloroplast	Streptophyta	unk	unk
15395	unk	unk	unk	unk	unk	unk
15398	Root	Fusobacteria	Fusobacteria	Fusobacteriales	Fusobacteriaceae	Fusobacterium
15399	Root	Fusobacteria	Fusobacteria	Fusobacteriales	Fusobacteriaceae	Leptotrichia
15418	Root	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
15428	Root	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella
15434	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
15444	Root	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
15456	Root	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Lautropia
15463	Root	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Capnocytophaga
15469	Root	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus
15470	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
15474	Root	Fusobacteria	Fusobacteria	Fusobacteriales	Fusobacteriaceae	Leptotrichia
15477	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas
15499	Root	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Selenomonas
15503	Root	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
15521	Root	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
15556	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
15557	Root	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
15558	Root	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Lautropia
15563	Root	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Rothia
15584	Root	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella
15600	Root	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Kingella
15615	Root	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
15633	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Tannerella
15652	Root	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter
15662	Root	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
15669	Root	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus
15671	Root	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
15688	Root	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Capnocytophaga
15690	Root	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
15692	Root	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Selenomonas
15736	Root	Fusobacteria	Fusobacteria	Fusobacteriales	Fusobacteriaceae	Leptotrichia
15768	Root	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella
15776	Root	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
15778	Root	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus
15789	Root	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus
15827	Root	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
15852	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
15861	Root	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
15872	Root	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
15882	Root	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
15899	Root	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus
15928	Root	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus
15965	Root	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
16006	unk	unk	unk	unk	unk	unk
16009	Root	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
16015	Root	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus
